Date,Open,High,Low,Close,Volume,Suku Bunga,Inflasi,Kurs Rupiah
2011-06-06,1520,1530,1510,1520,91342500,0.0675,0.0554,8549
2011-06-07,1500,1510,1490,1500,148577500,0.0675,0.0554,8572
2011-06-08,1500,1510,1490,1500,98942500,0.0675,0.0554,8564
2011-06-09,1490,1500,1480,1490,107070000,0.0675,0.0554,8566
2011-06-10,1490,1500,1480,1490,99352500,0.0675,0.0554,8561
2011-06-13,1490,1500,1480,1490,100185000,0.0675,0.0554,8574
2011-06-14,1460,1460,1430,1460,134890000,0.0675,0.0554,8581
2011-06-15,1450,1460,1440,1450,70747500,0.0675,0.0554,8578
2011-06-16,1420,1450,1410,1420,89272500,0.0675,0.0554,8627
2011-06-17,1370,1430,1360,1370,120882500,0.0675,0.0554,8638
2011-06-20,1390,1400,1370,1390,61725000,0.0675,0.0554,8621
2011-06-21,1420,1430,1390,1420,62607500,0.0675,0.0554,8646
2011-06-22,1430,1440,1420,1430,47617500,0.0675,0.0554,8643
2011-06-23,1430,1440,1420,1430,29465000,0.0675,0.0554,8644
2011-06-24,1450,1460,1430,1450,75432500,0.0675,0.0554,8645
2011-06-27,1420,1440,1420,1420,43732500,0.0675,0.0554,8662
2011-06-28,1450,1460,1430,1450,60070000,0.0675,0.0554,8666
2011-06-30,1470,1470,1440,1470,129097500,0.0675,0.0554,8640
2011-07-01,1440,1480,1440,1440,75635000,0.0675,0.0461,8606
2011-07-04,1440,1440,1440,1440,0,0.0675,0.0461,8565
2011-07-05,1440,1460,1430,1440,72345000,0.0675,0.0461,8583
2011-07-06,1430,1450,1420,1430,38207500,0.0675,0.0461,8575
2011-07-07,1430,1440,1420,1430,43170000,0.0675,0.0461,8578
2011-07-08,1440,1440,1420,1440,44697500,0.0675,0.0461,8567
2011-07-11,1410,1430,1400,1410,55782500,0.0675,0.0461,8565
2011-07-12,1400,1400,1380,1400,91820000,0.0675,0.0461,8592
2011-07-13,1410,1420,1390,1410,82730000,0.0675,0.0461,8605
2011-07-14,1410,1420,1400,1410,74537500,0.0675,0.0461,8581
2011-07-15,1430,1430,1400,1430,62892500,0.0675,0.0461,8580
2011-07-18,1420,1440,1410,1420,51292500,0.0675,0.0461,8598
2011-07-19,1410,1420,1400,1410,36195000,0.0675,0.0461,8601
2011-07-20,1420,1420,1400,1420,31760000,0.0675,0.0461,8583
2011-07-21,1460,1460,1410,1460,117302500,0.0675,0.0461,8582
2011-07-22,1480,1480,1450,1480,68407500,0.0675,0.0461,8570
2011-07-25,1460,1480,1450,1460,70447500,0.0675,0.0461,8571
2011-07-26,1460,1460,1450,1460,57402500,0.0675,0.0461,8564
2011-07-27,1470,1470,1460,1470,34665000,0.0675,0.0461,8531
2011-07-28,1460,1480,1450,1460,98107500,0.0675,0.0461,8552
2011-07-29,1470,1480,1450,1470,98597500,0.0675,0.0461,8551
2011-08-01,1500,1500,1470,1500,86795000,0.0675,0.0479,8523
2011-08-02,1520,1520,1490,1520,214512500,0.0675,0.0479,8502
2011-08-03,1510,1520,1490,1510,140755000,0.0675,0.0479,8529
2011-08-04,1560,1580,1520,1560,367465000,0.0675,0.0479,8525
2011-08-05,1510,1530,1490,1510,178427500,0.0675,0.0479,8581
2011-08-08,1500,1540,1490,1500,161515000,0.0675,0.0479,8576
2011-08-09,1440,1490,1420,1440,254767500,0.0675,0.0479,8598
2011-08-10,1420,1480,1420,1420,185112500,0.0675,0.0479,8573
